"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","overallmol_poly","overallmol_mono","dnmito_poly","dnmito_mono","dsmito_poly","dsmito_mono","dndsmito_poly","dndsmito_mono","sprich_poly","sprich_mono","bea12_poly","bea12_mono","bea3_poly","bea3_mono","nprsds_poly","nprsds_mono","nprsdn_poly","nprsdn_mono","mplds_poly","mplds_mono","mpldn_poly","mpldn_mono"
"11","Circus","Accipiter",0.285714286,0.094339623,429.875,335.4,580.75,586,0.044802,0.053207,0.052303492,0.060219949,0.141593454,0.126097745,0.369392019,0.477565627,14,53,0.00448052347366948,0.00357204255290992,0.897795158897749,0.883356331992822,-0.403995316828281,-0.519897904851741,-1.91525389124067,-1.77431335276862,0.0562730568096667,-0.0596295312137937,-0.0729512462315835,0.0679892922404706
"12","Buteo","Haliaeetus",0.125,0.285714286,541.6428571,1182.5,660.0285714,1467.25,0.057147,0.017485,0.028361084,0.056152119,0.103916847,0.137893041,0.272920948,0.407215033,56,14,0.00308780792906477,0.00465263898122877,0.840328905301768,0.898684279166787,-0.729323728020403,-0.446436440263273,-2.41537440462763,-1.73232792242061,-0.151413618596281,0.131473669160849,-0.398742657908299,0.284303824298724
"13","Polytelis","Alisterus",1,0.333333333,141.2666667,221.5,149.8333333,242.9,0.028463,0.099614,0.209296633,0.176313052,0.174830267,0.145796113,1.197141869,1.209312426,3,3,0.00475742910378706,0.00491568683098926,0.874348753311266,0.85570028861133,-0.819957565566672,-1.00156400602325,-0.521320872947987,-0.692812298038161,0.0866862607120075,-0.094920179744573,0.0820740448490569,-0.0894173802411167
"14","Myiobius","Onychorhynchus",0.2,0.25,12,18.6,11.4,15.1,0.017354,0.025759,0.07745906,0.099300135,0.183195065,0.219625383,0.422822855,0.452134146,5,4,0.00419793839446303,0.0049735977395653,0.880919258980377,0.866544677911566,-0.324842300572086,-0.143470522811913,-1.55089442339613,-1.30249703460958,-0.0947922303445115,0.0865795474156618,-0.131891605056404,0.116505783730145
"15","Ptilonorhynchus","Ailuroedus",0.375,0.666666667,157.8333333,214,153.5,197,0.078094,0.067181,0.08733693,0.169882713,0.191024447,0.239303155,0.457202895,0.709905862,16,3,0.00466374487120909,0.00786097104352188,0.831157201606219,0.918178701915233,-0.0551045068345294,0.170225261099372,-1.24238892803661,-0.577054050338135,-0.11899819046426,0.106331577469642,-0.387009783734276,0.278325093964197
"16","Lichenostomus","Manorina",0.6,0.4,24.00833333,57.42,21.025,47.46,0.099919,0.06932,0.03873781,0.067117926,0.146399209,0.179539733,0.264603958,0.373833274,20,15,0.00294760643125224,0.0047860315325767,0.845148083432308,0.897924224598389,-0.14899188894153,0.0550674468316876,-2.12140082424899,-1.57176579160016,-0.107225688674535,0.0968336470986825,-0.312113877568804,0.237521155080021
"17","Vireo","Hylophilus",0.709677419,0.133333333,13.54,9.5,13.36666667,9.5,0.037983,0.030764,0.050257124,0.075833879,0.122227453,0.143246143,0.411177051,0.529395605,31,15,0.00302371888444298,0.00399410859744297,0.896530475763028,0.876538654356446,-0.000115858508035792,0.158564890143991,-1.23765815743064,-0.826265324628682,-0.0824845252157216,0.0761962234363052,-0.226704401009163,0.184688431792798
"18","Epimachus","Manucodia",0.411764706,0.333333333,154.5916667,205.5,124.7416667,157.5,0.018729,0.010212,0.073068107,0.120106139,0.20344704,0.191187316,0.359150504,0.628211856,34,6,0.00422701068667148,0.00507908990673919,0.868896280496714,0.892167395550053,0.525494027434924,0.463341964905599,-0.806949592822823,-0.309965728414805,0.0305932491029546,-0.0315588134263712,-0.279053451062707,0.217930413345312
"19","Hirundo","Petrochelidon",0.121212121,0.666666667,17.33333333,498.445,17.53333333,411.99,0.05196,0.078539,0.084820874,0.056335695,0.170783823,0.140051811,0.496656372,0.402248956,33,3,0.00502898586871723,0.00362274618980616,0.915061906764405,0.81126165799054,0.88132559217509,0.682939460056243,0.0417891492543147,-0.367424173585417,0.0942814803711174,-0.104104651747729,0.183819157215082,-0.225394165624651
"20","Tachycineta","Riparia",0.111111111,0.25,21.7,12.7,20.7,13.6,0.061713,0.064597,0.06770015,0.051715431,0.145136131,0.153595452,0.466459656,0.336698976,9,4,0.00453379703367781,0.00368945252421495,0.937841943002058,0.943949532910148,0.80555984587226,0.862209919630312,-0.208007151980453,-0.477339326567818,-0.0287261371061262,0.0279239366519253,0.125625884331574,-0.143706290255791
"21","Sylvia","Zosterops",0.039215686,0.007731959,16.35,11.83333333,16.2,11.8,0.048397,0.099269,0.127627038,0.12909064,0.215231429,0.23428973,0.592975845,0.550987189,51,388,0.00553409550688339,0.00649662226708816,0.85180225057701,0.895443883932331,0.77666364224839,0.861508291143349,0.0498443700233798,0.061246911801065,-0.043321881486604,0.0415227674083549,-0.00571752304567223,0.00568501873201283
"22","Troglodytes","Thryothorus",0.266666667,0.024390244,9.95,20.3,9.225,18.3,0.063401,0.096634,0.047424427,0.062831528,0.121723659,0.1519995,0.389607305,0.413366676,15,41,0.00348320469058249,0.00399670302670458,0.867436664107308,0.908125089948793,0.216712822461678,0.438836667303562,-1.1036664539479,-0.822346897785741,-0.11721666043602,0.104907184405865,-0.150519914659438,0.130799641502718
"23","Sturnus","Acridotheres",0.125,0.142857143,81.15,126.8,72.6,114.3,0.003617,0.011194,0.040719695,0.041724405,0.13429639,0.131147691,0.303207666,0.318148222,16,7,0.00319428037924233,0.00303150126609246,0.885277186687418,0.802838817849951,0.655736334424256,0.632011207021795,-0.750289258067126,-0.725914940601718,0.0117922051425726,-0.0119329222598894,-0.0122614203134129,0.0121128971519947
"24","Oenanthe","Saxicola",0.024390244,0.272727273,24.1,15.06666667,23.8,15.6,0.022534,0.009463,0.04787134,0.033566363,0.132940476,0.112402101,0.36009605,0.298627542,41,11,0.00392326700108965,0.00308488929624807,0.873798207410114,0.779151891023644,0.727687334862838,0.559868488967728,-0.556026112174684,-0.911018641577947,0.0803931506399442,-0.0874256952551653,0.161825827741138,-0.193166701662125
"25","Euplectes","Quelea",0.058823529,0.111111111,25.5,176.2,20.7,282.4,4e-06,0.035126,0.033923718,0.040067161,0.144672936,0.150516676,0.234485588,0.26619749,17,9,0.00337028876484989,0.00404441516106215,0.919863609555872,0.859942265264367,0.796992095408267,0.836590399800894,-1.19520639426245,-1.02876374055966,-0.0199951426057451,0.0196031617868819,-0.0866802316266711,0.0797624220761205
"26","Lonchura","Taeniopygia",0.170731707,0.6,11.975,11.53333333,11.975,11.8,0.041553,0.103449,0.056102906,0.060304771,0.140895919,0.107282812,0.398186875,0.562110279,41,10,0.00394247719968949,0.00308816737600013,0.911671959704812,0.770449293548099,0.651625016589148,0.37907200720668,-0.384566679690361,-0.31234306330636,0.127019461342369,-0.145533548040099,-0.0367636978717515,0.0354599185122488
"27","Calcarius","Plectrophenax",1,0.5,24.525,38.7,23.075,36,0.030144,0.043927,0.025444139,0.029574512,0.116791341,0.116388925,0.217859809,0.254100741,4,2,0.00363326461015591,0.00361219954123036,0.875372874861352,0.877135999298635,0.275356703541786,0.271905153627063,-1.69316577807806,-1.5427382988231,0.00172428580849934,-0.0017272641062242,-0.0780396300535325,0.0723878492014293
"28","Myioborus","Basileuterus",0.125,0.2,9.35,13.275,9.45,13.275,0.05054,0.066755,0.026878505,0.022988414,0.100248698,0.094436141,0.268118243,0.243428134,16,25,0.00311097732232145,0.00250419092852197,0.904465067797799,0.840212140878701,0.946621855715899,0.886891626922332,-0.534214056759118,-0.690550611728818,0.029419218146246,-0.0303110106473215,0.0751162439152658,-0.0812203110544336
"29","Spizella","Amphispiza",0.857142857,0.5,12.61666667,14.1,12.65,13.4,0.025991,0.108864,0.048084901,0.051011014,0.113789705,0.163555459,0.422576903,0.311888177,7,2,0.00334136492807247,0.00386254674974327,0.921563816090078,0.946446439717458,1.63530000150609,1.99810007983544,0.668342937880695,0.72741628380543,-0.197763576641399,0.165036501687953,-0.0299728170762938,0.0291005288484411
"30","Zonotrichia","Junco",1,0.25,29.4,18.9,27.64,19.2,0.096385,0.057986,0.01748299,0.03013897,0.081133261,0.087356385,0.215484861,0.345011646,5,4,0.00288106343349687,0.0043851640668779,0.902143140222985,0.833219953067362,1.28806660893982,1.36196973105735,0.0480018062688139,0.592592446462062,-0.0376341146838211,0.0362690074337062,-0.308918429372012,0.235672210821236
"31","Agelaius","Molothrus",0.4,0.333333333,62.4,43.75,42.55,35.85,0.033326,0.085778,0.014111232,0.031879046,0.113529412,0.09095896,0.124295826,0.350477247,5,6,0.00241703143393429,0.00315940887011574,0.895563661065786,0.838441007394222,1.27506111645756,1.05340758809216,-0.817202081053319,-0.00222423487457165,0.104698009126168,-0.116955519239231,-0.488311765201875,0.326666080976872
"32","Passerina","Pheucticus",0.222222222,0.333333333,22.35,44.85,20.425,46.9,4e-06,0.074013,0.043020196,0.053372864,0.141474075,0.136838622,0.304085369,0.390042398,18,6,0.00390482577747238,0.00442472699468271,0.827504081768236,0.801953028792789,1.01186869020563,0.978554499292771,-0.336335105384551,-0.12070233139929,0.0165183724567157,-0.0167958184561423,-0.113617347923111,0.102015426062149
